,name,category,address,tel,description,summary
31,ADHERE,Art Graphique,Boulevard steinmetz Rue 115 Cotonou - Bénin,Tel:+2290152291922,"ADHERE est une équipe de jeunes compétents au service de la croissance par le digital. Nous sommes spécialistes de création et maintenance de site web, de développement d'applications, de création de logos d'identité de marque, de marketing de contenu gestion de pages sociales, de couverture photos vidéos, etc","Art GraphiqueADHERE est une équipe de jeunes compétents au service de la croissance par le digital. Nous sommes spécialistes de création et maintenance de site web, de développement d'applications, de création de logos d'identité de marque, de marketing de contenu gestion de pages sociales, de couverture photos vidéos, etc"
32,ADIS COMMUNICATION,Art Graphique,Von qui fait face à MTN Concept Agla Cotonou - Bénin,+2290196267466,,Art Graphique
33,AFRIQUE DESIGN COMMUNICATION,Art Graphique,"Agla, non loin de la maison du peuple Sainte Rita - BP 1343 Cotonou Cotonou - Bénin",+2290164322142,"AFRIQUE DESIGN COMMUNICATION est un établissement qui s'exerce dans divers domaines à savoir la photographie, l'audiovisuel, le graphisme, la maintenance informatique, fabrications de tous objets d'art à savoir les gadgets publicitaires.","Art GraphiqueAFRIQUE DESIGN COMMUNICATION est un établissement qui s'exerce dans divers domaines à savoir la photographie, l'audiovisuel, le graphisme, la maintenance informatique, fabrications de tous objets d'art à savoir les gadgets publicitaires."
34,AGENCE CREATIVE STAMINA,Art Graphique,Cotonou Cotonou - 229 - Bénin,+2290162819452,"Nous sommes un agence créative spécialisée dans l'expression du branding et la création de contenus. Nous apportons cohérence, pertinence et consistance à votre image et votre communication. Logo, identité de marque, photos, vidéos, motion, affiches, graphisme, stratégies social média, campagne de communication smart.","Art GraphiqueNous sommes un agence créative spécialisée dans l'expression du branding et la création de contenus. Nous apportons cohérence, pertinence et consistance à votre image et votre communication. Logo, identité de marque, photos, vidéos, motion, affiches, graphisme, stratégies social média, campagne de communication smart."
35,AGOCLE SERVICE PLUS,Art Graphique,Dèkoungbé Abomey-Calavi - Bénin,+2290195492764,,Art Graphique
36,AK GRAPHIC,Art Graphique,- Cotonou - Bénin,Tel:+2290166332451,"Tout travaux en Graphismes, Sérigraphies et imprimeries.","Art GraphiqueTout travaux en Graphismes, Sérigraphies et imprimeries."
37,AM GRAPHICS BENIN,Art Graphique,"Cotonou, Sainte Cécile. Sainte Cécile Cotonou - Bénin",+2290151455072,,Art Graphique
38,AMYS TECH,Art Graphique,Koutongbé Porto-Novo - 01 BP 36 - Bénin,Tel:+2290166851228,"AMYS TECH est une entreprise béninoise située à Porto-Novo et spécialisée en informatique bureautique, services de secrétariat express, impression numérique, graphisme, création de contenu digital et formation numérique. Chez AMYS TECH, nous aidons particuliers, entreprises et écoles à booster leur productivité et visibilité grâce à des solutions numériques concrètes.","Art GraphiqueAMYS TECH est une entreprise béninoise située à Porto-Novo et spécialisée en informatique bureautique, services de secrétariat express, impression numérique, graphisme, création de contenu digital et formation numérique. Chez AMYS TECH, nous aidons particuliers, entreprises et écoles à booster leur productivité et visibilité grâce à des solutions numériques concrètes."
39,AO BUSINESS,Art Graphique,Agori Agori Abomey-Calavi - Bénin,+22958582658,,Art Graphique
40,ATELIERPAON,Art Graphique,"30, Rue 308 01 BP 1798 Cotonou - Bénin",+2290161984141,,Art Graphique
41,AUDAIM STUDIO,Art Graphique,- Godomey-Togoudo Abomey-Calavi - Bénin,Tel:+2290141379498,"Agence digitale spécialisée en branding, design graphique, création de sites web et solutions innovantes pour booster la visibilité des entreprises.","Art GraphiqueAgence digitale spécialisée en branding, design graphique, création de sites web et solutions innovantes pour booster la visibilité des entreprises."
42,BG PROD BENIN,Art Graphique,Dèkoungbe 100m après la pharmacie Hedomey à gauche Abomey-Calavi - Bénin,+2290197485489,Réalisation vidéos photographie graphisme enseigne lumineuse,Art GraphiqueRéalisation vidéos photographie graphisme enseigne lumineuse
43,BOL'ART,Art Graphique,"Rue du marché, 50m après la Rose croix Wologuêdè - Minonkpo Cotonou - Bénin",+2290196755575,"Art: vêtements (hommes /femmes /enfants) et tableau, pour tous lieux (intérieur /extérieur)","Art GraphiqueArt: vêtements (hommes /femmes /enfants) et tableau, pour tous lieux (intérieur /extérieur)"
44,BRAINTECH,Art Graphique,Vons Phcie LULI LULI Agla Cotonou - Bénin,+2290196615396,"Grâce à sa forte culture digitale et à son équipe de graphistes expérimentés, Braintech réalise les habillages graphiques de vos principaux réseaux sociaux … Aussi, la conception graphique et impression de vos différents éléments de publicité.","Art GraphiqueGrâce à sa forte culture digitale et à son équipe de graphistes expérimentés, Braintech réalise les habillages graphiques de vos principaux réseaux sociaux … Aussi, la conception graphique et impression de vos différents éléments de publicité."
45,CFTP ESPOIR EN L'ÉTERNEL,Art Graphique,Hêvié Dodji après le pont à gauche Abomey-Calavi - Bénin,Tel:+2290167715717,,Art Graphique
46,CHRIST GRAPH,Art Graphique,- 01 BP 2504 Cotonou - 2504 - Bénin,+2290197858521,"Agence d'art graphique et de design. Nous sommes spécialisé dans la création de logo réalisation de charte graphique, création d'affiche publicitaire carte d'invitation et de visite etc.....","Art GraphiqueAgence d'art graphique et de design. Nous sommes spécialisé dans la création de logo réalisation de charte graphique, création d'affiche publicitaire carte d'invitation et de visite etc....."
47,CREA PLUS,Art Graphique,Rene Pleven Akpakpa - 06 BP 1620 Cotonou - Bénin,+2290167716008,,Art Graphique
48,CYAN AFRIQUE,Art Graphique,"Lot 2055, Ménontin 03 BP 436 Cotonou 03 Cotonou - Bénin",Tel:+2290121388782,,Art Graphique
49,DEMUS GRAPH,Art Graphique,Jéricho rue après HECM en quittant Tokpa Cotonou - Bénin,+2290166565055,,Art Graphique
50,DIGIT COM,Art Graphique,"Dekoungbé, 3ème von après l'hôpital ODESSA Cotonou - Bénin",+2290151819955,"DIGIT COM est une structure de communication digitale qui se charge de votre visibilité physique et visuelle. Nous vous donnons plus de crédibilité et plus de notoriété à travers nos services de Community management; de conceptions graphiques ( Logo, Affiches, Bâches, Carte de visite, Kakemono...) et spot vidéo...etc","Art GraphiqueDIGIT COM est une structure de communication digitale qui se charge de votre visibilité physique et visuelle. Nous vous donnons plus de crédibilité et plus de notoriété à travers nos services de Community management; de conceptions graphiques ( Logo, Affiches, Bâches, Carte de visite, Kakemono...) et spot vidéo...etc"
51,DON DIVIN DESIGN,Art Graphique,Siège rue pharmacie koutongbé Porto-Novo - Bénin,+2290161305623,"Conception graphique, impression sur tous supports, vente et achat de fournitures de bureau et divers.","Art GraphiqueConception graphique, impression sur tous supports, vente et achat de fournitures de bureau et divers."
52,DS DESIGN STUDIO'S,Art Graphique,C /1377 Tonato Cotonou - 444 - Bénin,+2290166068603,"Nous sommes spécialisés dans : le design d’affichage, la création de maquettes pour les sites et applications, la conception de visuels de communication (Logos, Flyers, Affiches publicitaires, Bannières, Cartes de visite ...), Impressions sur Bâches, Tee-shirt, Maillots...","Art GraphiqueNous sommes spécialisés dans : le design d’affichage, la création de maquettes pour les sites et applications, la conception de visuels de communication (Logos, Flyers, Affiches publicitaires, Bannières, Cartes de visite ...), Impressions sur Bâches, Tee-shirt, Maillots..."
53,ECHELON - Studio Graphique & Design,Art Graphique,"Godomey Gare, Route de Lomé Abomey-Calavi - Bénin",+2290199400606,"ECHELON est un Studio Graphique et Design. Nous accompagnons les entreprises, marques et institutions souhaitant concevoir et développer leur identité visuelle (Logo, Affiches, Bâches, Carte de visite, Kakemono…) et spot vidéo...etc.","Art GraphiqueECHELON est un Studio Graphique et Design. Nous accompagnons les entreprises, marques et institutions souhaitant concevoir et développer leur identité visuelle (Logo, Affiches, Bâches, Carte de visite, Kakemono…) et spot vidéo...etc."
54,ELIRAM SERVICES,Art Graphique,Agori Abomey-Calavi - Bénin,+2290197262139,Conception graphique,Art GraphiqueConception graphique
55,ESPA COM,Art Graphique,"C/ 790, Rue 2210 von après l'hopital de zone de Kowégbo Cotonou - Bénin",+2290197225267,"Communication, Événementiel.","Art GraphiqueCommunication, Événementiel."
56,ETABLISSEMENT NOUVELLE GENERATION,Art Graphique,- 01 BP 3603 Cotonou 01 Cotonou - Bénin,+2290195162524,,Art Graphique
57,"ETS ""I"" L'IMAGE ET COMMUNICATION",Art Graphique,C/ 633 Saint Michel Cotonou - Bénin,Tel:+2290121325213,,Art Graphique
58,ETS EL-ELION CENTER,Art Graphique,Tori Kpovi Abomey-Calavi - Bénin,Tel:+2290145278444,,Art Graphique
59,FRANKELI PROD,Art Graphique,Cité la Victoire Abomey-Calavi - 0 - Bénin,+2290194141060,"Frankeli prod est une équipe de designers et développeurs qui ont pour but de créer des solutions et des supports utiles pour les professionnels afin de les faire atteindre efficacement leurs objectifs commerciaux. Site web, supports imprimés, solutions informatiques.","Art GraphiqueFrankeli prod est une équipe de designers et développeurs qui ont pour but de créer des solutions et des supports utiles pour les professionnels afin de les faire atteindre efficacement leurs objectifs commerciaux. Site web, supports imprimés, solutions informatiques."
61,25 DECEMBRE PHOTO VIDEO,Audiovisuel,"Sur la voie pavée menant à Aïtchédji, en quittant le carrefour Calavi-Kpota Agori Abomey-Calavi - Bénin",+2290194078290,,Audiovisuel
62,A2PA PRODUCTION,Audiovisuel,"Missèbo, Bld. Saint Michel - Plan D1 - Page 172 BP 5522 / 03 BP 3522 Cotonou - Bénin",Tel:+2290121042104,,Audiovisuel
63,ACADEMIE PHOTO AUDIOVISUELLE,Audiovisuel,"Calavi Gbodjê, Cader BP 1917 Abomey-Calavi - Bénin",Tel:+2290121361546,,Audiovisuel
64,AFRICA AUDIOVISUEL +,Audiovisuel,zogbadjè von marquis BK Abomey-Calavi - 000229 - Bénin,Tel:+22941825011,Africa Audiovisuel+ est une entreprise dynamique et innovante dédiée à la production audiovisuelle en Afrique.,AudiovisuelAfrica Audiovisuel+ est une entreprise dynamique et innovante dédiée à la production audiovisuelle en Afrique.
65,AFROTO,Audiovisuel,- Cotonou - Bénin,+2290156983800,Studio photo vidéo,AudiovisuelStudio photo vidéo
66,AGENCE DE PRODUCTION AUDIOVISUELLE,Audiovisuel,Cotonou Cotonou - Bénin,Tel:+22997805323,"Spécialisée dans la production vidéo commerciale , production vidéo d'entreprise ,production vidéo de promotion de produit couverture médiatique ,cinématographie.","AudiovisuelSpécialisée dans la production vidéo commerciale , production vidéo d'entreprise ,production vidéo de promotion de produit couverture médiatique ,cinématographie."
67,AGS (A'F GROUPE SERVICE),Audiovisuel,"Feu terrain, Rue pavée d'Agla, 1er carrefour Agla Cotonou - 0000 - Bénin",+2290168007516,"A’f Groupe Services est un producteur audiovisuelle et fournisseur de services multimédias permettant la distribution et la livraison de contenu. Nous avons à la fois des solutions créatives et complètes pour établir non seulement des moyens efficaces et de haute qualité de diffuser, mais aussi des solutions abordables.","AudiovisuelA’f Groupe Services est un producteur audiovisuelle et fournisseur de services multimédias permettant la distribution et la livraison de contenu. Nous avons à la fois des solutions créatives et complètes pour établir non seulement des moyens efficaces et de haute qualité de diffuser, mais aussi des solutions abordables."
68,AIE PRODUCTION,Audiovisuel,C/2244 kouhounou Cotonou - 00229 - Bénin,Tel:+2290156350727,"Activités artistiques, culturelles et Production audiovisuelle Email : aieprodbj@gmail.com TikTok Instagram YouTube Facebook: Aie Prod","AudiovisuelActivités artistiques, culturelles et Production audiovisuelle Email : aieprodbj@gmail.com TikTok Instagram YouTube Facebook: Aie Prod"
69,AKISSI CINE,Audiovisuel,Tidjrossé pavé Cotonou - Bénin,+2290197248993,,Audiovisuel
70,AKOYANE,Audiovisuel,"Hall des Arts, Rue 514 - Plan F2 - Page 182 Cotonou - Bénin",+2290197605021,,Audiovisuel
71,AKZ PHOTO VIDEO,Audiovisuel,Jacquot Fidjrossè Cotonou - Bénin,+2290197060760,,Audiovisuel
72,ALBA,Audiovisuel,Immeuble Ecobank Akpakpa Cotonou - Bénin,+2290197383135,,Audiovisuel
73,AMINON ENTERTAINMENT,Audiovisuel,"Parcelle R, maison oceni Sèmè-Podji - Bénin",+2290196889191,"Productions audiovisuelles ( cinéma, clips vidéos, spots publicitaires), Formation, Conseils, Location matériels audiovisuel.","AudiovisuelProductions audiovisuelles ( cinéma, clips vidéos, spots publicitaires), Formation, Conseils, Location matériels audiovisuel."
74,ANGELUS COMMUNICATION,Audiovisuel,- Abomey-Calavi - Bénin,Tel:+2290161133935,"Cadrage montage ,couverture d'événements","AudiovisuelCadrage montage ,couverture d'événements"
75,ART VISUEL PRODUCTION,Audiovisuel,- Cotonou - Bénin,Tel:+2290165424575,"Maison de production audiovisuel: Cadrage, montage, graphisme, infographie, photographie.","AudiovisuelMaison de production audiovisuel: Cadrage, montage, graphisme, infographie, photographie."
76,ATELIER CANAL ART,Audiovisuel,Sur le tronçon ayitchedji kpota Abomey-Calavi - 00229 - Bénin,+2290167112519,"Notre société se consacre à la création, à la promotion et à la vente d'œuvres d'art visuel, que ce soit à travers nos services de reportage, notre galerie de photographies, notre boutique de meubles en bois ou nos cours d'art. Nous sommes passionnés par notre travail et nous nous efforçons de fournir des services de qualité supérieure à nos clients.","AudiovisuelNotre société se consacre à la création, à la promotion et à la vente d'œuvres d'art visuel, que ce soit à travers nos services de reportage, notre galerie de photographies, notre boutique de meubles en bois ou nos cours d'art. Nous sommes passionnés par notre travail et nous nous efforçons de fournir des services de qualité supérieure à nos clients."
77,ATELIER CANAL ART,Audiovisuel,- Aitchédji Abomey-Calavi - Bénin,+2290167112519,"Atelier Canal Art est un studio de communication visuelle et audiovisuelle dédié à la valorisation des talents, des marques et des projets. Nous allions créativité, technique et stratégie pour offrir des solutions sur mesure : identité visuelle, photographie, vidéo, design graphique, création de contenu, et formation en communication. Notre mission : aider les professionnels, entreprises et artistes à se démarquer et à impacter leur public.","AudiovisuelAtelier Canal Art est un studio de communication visuelle et audiovisuelle dédié à la valorisation des talents, des marques et des projets. Nous allions créativité, technique et stratégie pour offrir des solutions sur mesure : identité visuelle, photographie, vidéo, design graphique, création de contenu, et formation en communication. Notre mission : aider les professionnels, entreprises et artistes à se démarquer et à impacter leur public."
78,ATLANTIC FM,Audiovisuel,"Rue 449, Zone Résidentielle 01 BP 366 Cotonou - Bénin",Tel:+2290121304575,,Audiovisuel
79,AURORA WORLD ENTERTAINMENT,Audiovisuel,Akpakpa Cotonou - Bénin,+2290197805323,"AURORA WORLD ENTERTAINMENT est une maison de production audiovisuelle renommée, alliant habilement créativité et savoir-faire technique. Spécialisée dans la production cinématographie captivante, de la conception à la distribution. Son expertise couvre tous les aspects de l'industrie cinématographique, offrant des services de communication et de marketing tout en innovant pour offrir des expériences cinématographiques uniques et mémorables.","AudiovisuelAURORA WORLD ENTERTAINMENT est une maison de production audiovisuelle renommée, alliant habilement créativité et savoir-faire technique. Spécialisée dans la production cinématographie captivante, de la conception à la distribution. Son expertise couvre tous les aspects de l'industrie cinématographique, offrant des services de communication et de marketing tout en innovant pour offrir des expériences cinématographiques uniques et mémorables."
80,AUTHENTICITE PHOTO VIDEO,Audiovisuel,Lom-Nava (AKPAKPA) Cotonou - Bénin,Tel:+2290197159357,,Audiovisuel
81,Africa Audiovisuel +,Audiovisuel,Zogbadjè von marquit BK Zogbadjè - Zogbadjè Abomey-Calavi - 00229 - Bénin,Tel:+2290141825011,Afrique audiovisuel + est une société de production de film aiffricain,AudiovisuelAfrique audiovisuel + est une société de production de film aiffricain
82,BAOLIVE PHOTO VIDEO,Audiovisuel,Agori Abomey-Calavi - Bénin,+2290195934458,,Audiovisuel
83,BEN ANIM STUDIO,Audiovisuel,Saint Pierre et Saint Paul 01 BP 1218 Porto-Novo - Bénin,+2290197453632,,Audiovisuel
84,BENYWOOD ACADEMY,Audiovisuel,Cocotomy Abomey-Calavi - 229 - Bénin,Tel:+2290162209088,"Benywood Academy vise à siéger le cinéma au Bénin Comme Hollywood des Etats - Unies d'Amérique et Nollywood du Nigéria, il à pour objectif de faire du Bénin le quartier phare en Matière du cinéma africain en réalisant des films typiquement cinématographique tel que : action, combat, fiction, etc","AudiovisuelBenywood Academy vise à siéger le cinéma au Bénin Comme Hollywood des Etats - Unies d'Amérique et Nollywood du Nigéria, il à pour objectif de faire du Bénin le quartier phare en Matière du cinéma africain en réalisant des films typiquement cinématographique tel que : action, combat, fiction, etc"
85,CAP BENIN MEDIA,Audiovisuel,- Cotonou - Bénin,+2290197904042,,Audiovisuel
86,CEFP LE SAVOIR FAIRE,Audiovisuel,Immeuble en face du CEG Ste Rita Sainte Rita Cotonou - Bénin,+2290197669598,Le Centre d’Excellence de Formations Professionnelles LE SAVOIR FAIRE vous ouvre ses portes dans la filière formation en audiovisuel.,AudiovisuelLe Centre d’Excellence de Formations Professionnelles LE SAVOIR FAIRE vous ouvre ses portes dans la filière formation en audiovisuel.
87,CFPJ - MAN,Audiovisuel,Von la sante 1 Menontin - Bénin,+2290196563835,"""CFPJ-MAN est un Centre de Formation professionnelle en Journalisme du Multimédia de l'Audiovisuel et du Numérique CFPJ-MAN Offre une gamme complète de Formation professionnelle en Journalisme, Graphisme PAO, en Communication, Maintenance Informatique et Sécurité Informatique, Secrétariat général de Direction & Systèmes d'informations et Logistiques","Audiovisuel""CFPJ-MAN est un Centre de Formation professionnelle en Journalisme du Multimédia de l'Audiovisuel et du Numérique CFPJ-MAN Offre une gamme complète de Formation professionnelle en Journalisme, Graphisme PAO, en Communication, Maintenance Informatique et Sécurité Informatique, Secrétariat général de Direction & Systèmes d'informations et Logistiques"
88,CHRIS PROD,Audiovisuel,Bidossessi Abomey-Calavi - Bénin,+2290196952184,,Audiovisuel
89,CREACTION BENIN,Audiovisuel,- Cotonou - Bénin,+2290195957289,,Audiovisuel
90,Interstis Bénin,Centres d'appels,- - Haie Vive Littoral Cotonou - Bénin,+2290162065770,"Vipp, le leader africain du BPO et de la relation client : des solutions agiles sur mesure, aux standards internationaux.","Centres d'appelsVipp, le leader africain du BPO et de la relation client : des solutions agiles sur mesure, aux standards internationaux."
91,POINT D'OR MARKET,Centres d'appels,- Atlantique Department Abomey Calavi - Bénin,+2290151212155,,Centres d'appels
92,ADKONTACT BENIN,Centres d'appels,Gbégamey Gbégamey Cotonou - Bénin,+2290169131993,"Prestataire expert en Expérience Client au Bénin et en Afrique francophone. Nous accompagnons les entreprises régionales dans l’analyse des enjeux, la stratégie de gestion client, la mise en œuvre de solutions innovantes et la formation pour améliorer l’expérience client et renforcer la fidélisation.","Centres d'appelsPrestataire expert en Expérience Client au Bénin et en Afrique francophone. Nous accompagnons les entreprises régionales dans l’analyse des enjeux, la stratégie de gestion client, la mise en œuvre de solutions innovantes et la formation pour améliorer l’expérience client et renforcer la fidélisation."
93,Allo media,Centres d'appels,Rocade NW - Depot Borgou Department Parakou - Bénin,+2290144528457,,Centres d'appels
94,CALLCENTER CALLCONNECT SARL,Centres d'appels,- - Houenoussou Littoral Cotonou - Bénin,+22933617030308,,Centres d'appels
95,CRM CONSULTING,Centres d'appels,"Gbégamey centre,lot 750 Cotonou - Bénin",Tel:+2290150966846,"Cabinet spécialisé dans la relation client; de mise en place de centre d'appels; Enquêtes de satisfaction; Etude de client mystère; Accompagnement en Prospection commerciale, formation …","Centres d'appelsCabinet spécialisé dans la relation client; de mise en place de centre d'appels; Enquêtes de satisfaction; Etude de client mystère; Accompagnement en Prospection commerciale, formation …"
96,Siontel,Centres d'appels,RNIE1 Menontin C 216 Immeuble Adamou local 17 - kouhounou Atlantique Department Cotonou - Bénin,+2290156351564,,Centres d'appels
97,VIPP-INTERSTIS BENIN,Centres d'appels,Ganhi Cotonou - Bénin,,,Centres d'appels
98,VOTRE PROFESSIONNEL AU BENIN,Centres d'appels,- Cotonou - Bénin,+2290196702463,"-Agence de recrutement -Préposés aux bénéficiaires de télévendeurs, téléprospecteurs, conseillers clients, téléconseillers, -Coursier pour les entreprises étrangères désirant recruter au Bénin -Centre dappel (call center)","Centres d'appels-Agence de recrutement -Préposés aux bénéficiaires de télévendeurs, téléprospecteurs, conseillers clients, téléconseillers, -Coursier pour les entreprises étrangères désirant recruter au Bénin -Centre dappel (call center)"
99,Votre Professionnel au Bénin (VPB),Centres d'appels,Gbedokpo - Gbedokpo Cotonou - Bénin,+2290196702463,,Centres d'appels
100,APUS ( AFRIQUE PRESSES UNIVERSITAIRES & SCOLAIRES),Editeurs,"3, rue 1519 Qtier Tokpota-Zinlivali Porto-Novo - Bénin",+2290195744755,Nous éditons des ouvrages scolaires & universitaires,EditeursNous éditons des ouvrages scolaires & universitaires
101,CYK@F GROUP CONSULTING Sarl,Editeurs,"C/1961, Carrefour Zogbo, Non loin de l'Agence BOA Zogbo - 01 BP 169 Cotonou - Bénin",+2290197148838,"Assistance Juridique et Conseil en communication, Edition de Magazine, Immobilier d'entreprise et commercial.","EditeursAssistance Juridique et Conseil en communication, Edition de Magazine, Immobilier d'entreprise et commercial."
102,EDITIONS CEJECO,Editeurs,- Natitingou - Bénin,,Nous éditons des livres de tous les genres littéraires.,EditeursNous éditons des livres de tous les genres littéraires.
103,EDITIONS ESSAIM PLUMES,Editeurs,- Parakou - 1430 - Bénin,Tel:+2290195802007,"Maison d'édition fondée le 19 octobre 2019 par Florent AÏKPE, spécialisée dans la publication de romans, de nouvelles, de poésie, d'essais, ainsi que de livres pour jeunes lecteurs, avec une attention particulière à la qualité et à la créativité.","EditeursMaison d'édition fondée le 19 octobre 2019 par Florent AÏKPE, spécialisée dans la publication de romans, de nouvelles, de poésie, d'essais, ainsi que de livres pour jeunes lecteurs, avec une attention particulière à la qualité et à la créativité."
104,ELJUS,Editeurs,Bp houegbo Houégbo - 444 - Bénin,+2290140797282,Ecrivain,EditeursEcrivain
